Time,Agent[1],Agent[2],Agent[3],Agent[4],Agent[5],Agent[6]
7.24,4.104394480275657,4.463132071622914,4.215741580084223,3.55690898113133,3.4280657832083787,3.8146801427564867
7.26,4.104455281092342,4.464491793769092,4.217459685777008,3.5561502241940444,3.426860778777702,3.8147244833335607
7.28,4.104302114283694,4.46609328688868,4.218590956074943,3.555868303067104,3.425447555187756,3.814983206663113
7.3,4.103934853768687,4.467917826903444,4.220285764465295,3.556057178645233,3.4238429371551153,3.8154555685300213
7.32,4.1033647311846195,4.46996465896413,4.221388427935186,3.5567117185107637,3.4220630030186703,3.815693403066009
7.34,4.102586572227441,4.472216030224764,4.223062347639029,3.5578232012800846,3.420123212447318,3.8161515617922395
7.36,4.101611349888044,4.474672307562871,4.224137345575556,3.5593884227938677,3.4180382885886074,3.816379473934979
7.38,4.100433469252845,4.477316596383771,4.225792306449322,3.5604123103815235,3.4158224141303832,3.816834207781089
7.4,4.099063669311246,4.480150314873075,4.226840046466656,3.561895019671566,3.4134742820329698,3.817052602336207
7.42,4.097495830553698,4.483157249436588,4.228477535224581,3.5628288731917217,3.4110074345998442,3.817494647323988
7.44,4.096219207145534,4.486339740715061,4.229497951814674,3.5642277475925157,3.4084197648047247,3.8176943503065415
7.46,4.094740565868772,4.48968216901676,4.231123870430592,3.5650695026222006,3.4057242534512504,3.8181197471401025
7.48,4.09355293847083,4.493187827674738,4.2321258758207225,3.5663836520244407,3.402918040507381,3.8183014824208095
7.5,4.092159305256893,4.496841678678558,4.23375012733773,3.567131696610035,3.4000136183170606,3.8187110580938795
7.5200000000000005,4.091056861330121,4.500647928319191,4.2347416542157035,3.5683607475752264,3.397007415111287,3.818875410313373
7.54,4.089744394823427,4.5045920391733745,4.236371256655396,3.5690138960606235,3.3939115027212083,3.819269865531837
7.5600000000000005,4.088723635444897,4.508679069182297,4.237358435285396,3.5701579306929774,3.390721631426456,3.8194173017266713
7.58,4.087488780169695,4.512894923915348,4.23900284641671,3.570715354389255,3.3874495149960824,3.8197972316786157
7.6000000000000005,4.086546513374582,4.517245521942529,4.239992249957162,3.571774857397043,3.384090252492701,3.819928119606628
7.62,4.085386014970359,4.521717129390258,4.241656496996971,3.5722360214866917,3.3806552577956674,3.820294032056604
7.640000000000001,4.084519302995037,4.526316466823678,4.24265438167488,3.573211834890807,3.377138998955544,3.820408656731902
7.66,4.083430148184265,4.531030146949715,4.244344460264302,3.5735764406655974,3.3735526440674497,3.8207609879841913
7.68,4.082636303651235,4.53586565830744,4.245356494849569,3.574468708559977,3.3698900440363824,3.8208595654119644
7.7,4.081615713023206,4.540809927652094,4.247077838564094,3.574736469267381,3.3661621570552636,3.821198683934415
7.72,4.080892277499822,4.5458711829126575,4.2481091771637365,3.5755457361661724,3.3623622375061952,3.8212813615958003
7.74,4.079937684288619,4.551036638067843,4.2498667272693496,3.5757171891523556,3.358501071425495,3.8216075800441884
7.76,4.079282409251729,4.5563152371126305,4.25092207635123,3.5764441470991337,3.354571339702584,3.821674455811349
7.78,4.078391440557373,4.561694459979132,4.252720346190218,3.5765199688854663,3.350583679853792,3.8219880476606285
7.8,4.077802270800605,4.567183948475594,4.25380402654944,3.5771654207113452,3.3465302185278976,3.8220391782428482
7.82,4.076972730995919,4.57277143259974,4.25564716124883,3.5771463922066626,3.3424214643657146,3.822340386385533
7.84,4.076447790119452,4.578467238717508,4.256763165585687,3.577711218145914,3.3382490054452156,3.8223757943812697
7.86,4.075677646174679,4.5842593363612165,4.258654997734256,3.577598192948913,3.3340232373419596,3.8226648384653106
7.88,4.075215223981904,4.590158728222008,4.2598070444702785,3.5780833201524684,3.3297352217833946,3.822684518174502
7.9,4.074502592529271,4.596153618268948,4.261751146375312,3.577877195500421,3.3253952533516333,3.8229616008358525
7.92,4.074101134178111,4.602255682442214,4.2629427303055545,3.5782835700205022,3.3209938762634046,3.822965522967936
7.94,4.0734442701594595,4.608453359670685,4.2649424634167765,3.577985259970157,3.316541292473091,3.823230835096139
7.96,4.073102366938009,4.614759001475864,4.266176903777925,3.578313820815456,3.3120275341492738,3.8232189504921257
7.98,4.07249965369799,4.6211612882035915,4.268235465852376,3.5779242312651345,3.307462715243888,3.823472675652253
8.0,4.072216035315054,4.627673255085373,4.269515952378051,3.578175886145633,3.3028363578955386,3.8234449181235273
8.02,4.071665976020354,4.634283836733668,4.271636422956638,3.577695891324161,3.298158488831706,3.8236872362444156
8.040000000000001,4.071439504321655,4.641006766561887,4.27296606049413,3.5778714937178155,3.2934181185900497,3.823643524616505
8.06,4.070940714603754,4.647831253322068,4.2751514452692945,3.577301913775942,3.288625183416241,3.8238746150433625
8.08,4.070770378644444,4.654771750161881,4.276533297547182,3.577402240955836,3.2837681768541547,3.82381485447951
8.1,4.070321580379528,4.661817767708692,4.278786572223006,3.576743820298848,3.2788569370934773,3.8240348984784043
8.120000000000001,4.070206492803544,4.668984508446851,4.280223705388509,3.576769551958552,3.273879431134538,3.823958981145196
8.14,4.069806508958941,4.676261821574375,4.282547859671842,3.5760229379542916,3.268845386828441,3.824168163937594
8.16,4.069745903656213,4.683665697822834,4.284043386262871,3.575974635060362,3.26374223046855,3.824075969062898
8.18,4.069393654148172,4.691186372034688,4.286441468679732,3.5751403567438347,3.2585795620522573,3.8242744814601775
8.2,4.069386885182181,4.698840673028735,4.287998592762947,3.5750184402264864,3.253344247784595,3.8241658748220475
8.22,4.069081383705548,4.706612592943214,4.29047375707257,3.574096886599487,3.2480457363751127,3.8243539145226553
8.24,4.069127925526875,4.71453516004034,4.292095754563748,3.573901615463962,3.2426702751130287,3.8242287473963814
8.26,4.068868276665288,4.72259182503286,4.294651262377524,3.5728930126191134,3.2372271748998354,3.824406520001989
8.28,4.068967724534879,4.730816080009056,4.296341780856561,3.5726244604600312,3.231702102696283,3.824264627570882
8.3,4.0687531238842105,4.739190814265272,4.298981406425456,3.5715288484163707,3.2261041839103273,3.8244323473457986
8.32,4.068905201710368,4.747749986349228,4.300744603388379,3.5711868813853695,3.220423202085978,3.8242735465943456
8.34,4.068734941198285,4.7564759264633825,4.303472611846708,3.570004138672456,3.2146525618922546,3.824431437136104
8.36,4.068939510719103,4.765403006276046,4.305313132916855,3.5695883779658457,3.2087821773742373,3.8242555248432644
8.38,4.068812983114182,4.774512901548855,4.30813425898418,3.5683178807765255,3.202805516542329,3.8244038200958865
8.4,4.069070052908158,4.783840403759201,4.310057214677165,3.5678272920598393,3.196712634867288,3.8242105671006983
8.42,4.068986755482095,4.7933665186868355,4.31297663803877,3.5664677873751147,3.1904970485897075,3.8243495054348657
8.44,4.069296489776059,4.803126462381641,4.314987578275242,3.565900714578299,3.1841489669852465,3.82413864576755
8.46,4.069256026948333,4.813100554454122,4.318010898940811,3.5644503527944043,3.1776619410682247,3.8242684640044677
8.48,4.069618754298448,4.823324438368146,4.320115788269472,3.5638045502977285,3.171026347613516,3.824039684991914
8.5,4.069620839283709,4.833777730907947,4.323249002583462,3.5622609163233943,3.1642357606086984,3.8241606139964657
8.52,4.070037061346074,4.844496503872569,4.325454195974505,3.561533579742419,3.1572807391907487,3.823913547222609
8.540000000000001,4.070081482362623,4.855459654278725,4.328703673144367,3.559893722768625,3.150154870181057,3.8240258090719865
8.56,4.070551275597349,4.866703681262194,4.3310158918843,3.5590815185313907,3.142848910956281,3.8237600217318235
8.58,4.070638024306593,4.878206745035676,4.334388344491066,3.5573419806576734,3.135356452701402,3.823863822083189
8.6,4.071161629103395,4.890005769062965,4.336814647761942,3.556441074485469,3.1276684677634026,3.823578804306576
8.620000000000001,4.07129082762947,4.902078159847135,4.340317109881372,3.554597918266967,3.1197785448992486,3.8236742612181533
8.64,4.071868609663223,4.914461260251356,4.342864871737501,3.5536040020293678,3.1116778888395493,3.82336970547836
8.66,4.072040513009266,4.927131706493985,4.346504676033932,3.551652839388039,3.1033600808025557,3.823456525761366
8.68,4.07267296170597,4.940127253982877,4.3491815620936,3.5505611568314728,3.0948165758648054,3.8231319242695814
8.700000000000001,4.072887952434677,4.953423752626766,4.35296631697004,3.548497170072137,3.086040944240312,3.823209806080893
8.72,4.073575679122623,4.96588387237006,4.355780261058751,3.5473025421287954,3.0770249096192774,3.8228645262051337
8.74,4.07383426650169,4.9786687728426005,4.359706061978813,3.545120509359957,3.0677561504847346,3.8229332340487745
8.76,4.0745778859881385,4.990613872731206,4.362642090378198,3.543817301817194,3.0582268591075774,3.8225666210746225
8.78,4.074880359889113,5.002906813033023,4.366694252293307,3.5415114502885174,3.0484247141369516,3.822625651565706
8.8,4.075680154772394,5.014355654437565,4.369738399639606,3.540093431437145,3.0383424008113993,3.822236970502862
8.82,4.076026495776274,5.0261746691502935,4.373903203063399,3.5376574170476713,3.027967578436469,3.8222857270667467
8.84,4.076882447127784,5.037144471951167,4.377042433307157,3.536117798979203,3.017293450657245,3.821874148155804
8.86,4.0772723560657305,5.048506093836686,4.381307048676363,3.5335447462711658,3.006307640124511,3.8219119270688586
8.88,4.07818417106747,5.059012635038753,4.384529181847116,3.5318762244952633,2.9950038951200733,3.821476513276142
8.9,4.078617523304,5.069931990501131,4.388881599464163,3.5291587650848917,2.983369786493792,3.8215024916097184
8.92,4.079585032938308,5.07998969691673,4.392175248096418,3.527353556693089,2.9713996339194906,3.8210421922116735
8.94,4.080060547709616,5.090480595856768,4.396604221175405,3.5244838663972504,2.959080943435292,3.821055425435967
8.96,4.08108300097611,5.100102631485598,4.399958721693996,3.522533747095899,2.947652938399921,3.820569061208645
8.98,4.081599677392903,5.1101838676058415,4.404453693343883,3.51951603591557,2.935847757730436,3.8205684615266398
9.0,4.082676117098924,5.119394479431721,4.407859111407818,3.517436886685705,2.9249320380840387,3.820054843136392
