Time,Agent[1],Agent[2],Agent[3],Agent[4],Agent[5],Agent[6]
0.0,1.0601848938211723e-16,0.0,1.0601848938211723e-16,-6.361109362927034e-16,1.2722218725854069e-15,-8.481479150569379e-16
0.02,-1.168243931882313e-06,-0.000651786790474937,-0.0006476989496075294,1.1577732765839722e-06,0.0006488671621168036,0.0006506290486209611
0.04,2.5288401546895143e-05,-0.0012852833072000062,-0.0013018009872911573,-2.502508640266411e-05,0.0012765136295255512,0.0013103073498213812
0.06,7.819763109970835e-05,-0.0019014513110775816,-0.0019621232903017645,-7.717995983269648e-05,0.0018839309410625985,0.0019786259890497357
0.08,0.00015646469085526152,-0.002501198911678784,-0.0026285052427471407,-0.00015403868360609478,0.00247205584205197,0.002655222305124788
0.1,0.0002590674075427416,-0.003085384888288669,-0.003300807404978722,-0.00025442577869890117,0.0030417741053673513,0.0033397765590561985
0.12,0.00038505166475019816,-0.003654822626726839,-0.003978910581616022,-0.0003772514441017717,0.0035939240271766655,0.00403200896051777
0.14,0.0005335272846473491,-0.0042102837135533,-0.004662714981950806,-0.0005215052328548271,0.004129299628933056,0.004731677014778529
0.16,0.0007036642783339321,-0.004752501224370051,-0.005352139467071736,-0.0006862503382070362,0.0046486535936310575,0.005438573157683834
0.18,0.0008946894322138702,-0.005282172738679892,-0.006047120878630461,-0.0008706184265469808,0.005152699961192365,0.006152522650451101
0.2,0.001105883201546878,-0.005799963110100254,-0.006747613444689518,-0.0010738049615403938,0.005642116605160578,0.00687338170962271
0.22,0.0013365768856321424,-0.006306507017511976,-0.007453588258644099,-0.0012950649705771537,0.006117547510392257,0.007601035850708829
0.24,0.0015861500620270841,-0.006802411319967331,-0.008165032827657718,-0.0015337092105437032,0.006579604869366339,0.00833539842677533
0.26,0.0018540282598272111,-0.007288257235744439,-0.008881950687555349,-0.0017891006950010505,0.00702887101278528,0.009076409345688347
0.28,0.0021396808543861544,-0.00776460236383393,-0.009604361081528767,-0.0020606515493573627,0.007465900188491209,0.009824033951842698
0.3,0.002442619167961035,-0.008231982564300574,-0.010332298700463885,-0.0023478201645321206,0.007891220201190706,0.010578262060144838
0.32,0.0027623947626850185,-0.008690913712367456,-0.01106581348308009,-0.002650108623087896,0.00830533392417139,0.011339107131679037
0.34,0.0030985979140050715,-0.009141893339658003,-0.011804970474497882,-0.0029670603748577712,0.00870872069295323,0.012106605582055358
0.36,0.00345085625431841,-0.009585402174834716,-0.012549849742211575,-0.0032982581418148455,0.009101837589762548,0.012880816214780178
0.38,0.0038188335779932585,-0.010021905594797533,-0.013300546348853472,-0.003643322034357022,0.009485120626721162,0.013661819773293607
0.4,0.004202228800354856,-0.010451854996712478,-0.01405717038149271,-0.0040019078633217586,0.009858985834735148,0.014449718606436944
