Time,Agent[1],Agent[2],Agent[3],Agent[4],Agent[5],Agent[6]
0.0,1.0601848938211723e-16,0.0,1.0601848938211723e-16,-2.1203697876423447e-16,1.2722218725854069e-15,-8.481479150569379e-16
0.02,-0.0003524520202986989,-0.001475523696189634,-0.0008215989582597696,0.0004759368884095804,0.0011234582389195052,0.0006506290486209611
0.04,-0.0006280634076310569,-0.0022716048805958545,-0.0016761622848211818,0.000250005766294203,0.0015862611155661776,0.0013115410336883107
0.06,-0.0008677092586171782,-0.003045097322039354,-0.002522004319095512,1.2323824080092852e-05,0.002036306133065782,0.0019763984595097535
0.08,-0.0010665206448837018,-0.003797497448652578,-0.0033663300048084126,-0.00024270646554664982,0.002474292078706331,0.0026451009600245725
0.1,-0.0012262627414381289,-0.004529745490419471,-0.00420931126906661,-0.0005142197294148668,0.0029007595909371626,0.003317643141263398
0.12,-0.0013485928050002577,-0.005242796857570563,-0.00505118018213379,-0.0008014146742072499,0.0033162231634101132,0.003994042436368262
0.14,-0.0014350614085228213,-0.005937555003065352,-0.005892164197347919,-0.0011035512242818335,0.003721173659116076,0.004674337411620056
0.16,-0.0014871195567142154,-0.006614876169704803,-0.0067324872112955285,-0.0014199461283076718,0.0041160799386596855,0.005358586361824167
0.18,-0.0015061245239073875,-0.007275573111990255,-0.0075723705621584675,-0.0017499689788702032,0.00450139035391194,0.006046866098376224
0.2,-0.0014933451984549628,-0.007920418496338974,-0.008412033952245766,-0.0020930386104071985,0.004877534120666565,0.006739270917367182
0.22,-0.0014499669690014065,-0.008550148013992044,-0.009251696306209173,-0.002448619838193044,0.005244922581706664,0.007435911730387766
0.24,-0.001377096190005014,-0.009165463236813842,-0.010091576575178236,-0.0028162205055011712,0.005603950370474363,0.008136915343121208
0.26,-0.0012757642596699821,-0.009767034242809822,-0.010931894495878981,-0.0031953888099814495,0.005954996484517346,0.00884242386894004
0.28,-0.0011469313397145181,-0.010355502035317585,-0.011772871312858152,-0.003585710883717345,0.006298425276823856,0.009552594266553508
0.3,-0.0009914897430183306,-0.010931480777278358,-0.012614730471115037,-0.003986808604381546,0.006634587372372365,0.01026759799244156
0.32,-0.0008102670121850827,-0.011495559859784003,-0.013457698285791868,-0.004398337617600884,0.006963820516391545,0.010987620760218834
0.34,-0.0006040287092853593,-0.012048305822163029,-0.014302004595008522,-0.004819985552932004,0.007286450360164228,0.01171286240046232
0.36,-0.00037348093456505846,-0.01259026413918516,-0.015147883401489714,-0.005251470417961138,0.007602791189589748,0.012443536815683717
0.38,-0.00011927258959865503,-0.013121960889486807,-0.015995573508284188,-0.00569253915685807,0.007913146601149348,0.013179872026225465
0.4,0.0001580026017439478,-0.013643904318033829,-0.016845319153582453,-0.006142966361403441,0.00821781012942167,0.013922110303914029
0.42,0.00045780430312910696,-0.014156586304332043,-0.017697370649466502,-0.006602553123955951,0.008517065829849003,0.014670508391173277
0.44,0.0007796439968522459,-0.014660483747114888,-0.018551985029269327,-0.0070711260232321,0.008811188820004182,0.015425337804280946
0.46,0.0011230836284093848,-0.015156059875418322,-0.01940942670816434,-0.007548536234928209,0.009100445782260822,0.01618688522022809
0.48,0.0014877344584809113,-0.0156437654952322,-0.020269968161601135,-0.008034658760398487,0.009385095430384518,0.016955452947522494
0.5,0.0018770148868311415,-0.01612591956479962,-0.021133890626235163,-0.008529391767615479,0.00966538894223955,0.017729480097617805
0.52,0.0022583415190249776,-0.016586768648096186,-0.02200150362583266,-0.00903265603960325,0.009941570360486419,0.018525484918130004
0.54,0.002636215689253036,-0.017029411653190673,-0.02287296470408714,-0.009544394714480266,0.010213858164805608,0.019344546603704264
0.56,0.0029769194635594484,-0.017433042309902204,-0.023751172208639818,-0.010064571311748163,0.010480924282009228,0.0201702244495574
0.58,0.003299944303393325,-0.017833785627220648,-0.02461998955067595,-0.010593197002448474,0.01075945661444851,0.021003870440938342
0.6,0.003587424120967998,-0.018209986157076627,-0.025483014872670944,-0.011130154846320532,0.011047438483115892,0.021829211853488385
0.62,0.003858966775499285,-0.01859785554461014,-0.026324378740966558,-0.011675219655187943,0.011361305866641502,0.022648321548681693
0.64,0.004095967449235337,-0.018974578252135357,-0.027141851547622553,-0.012231303152527889,0.011703035682171532,0.023442879863154485
0.66,0.004318192026986697,-0.01937977035888825,-0.027951826918823433,-0.012784208176035115,0.012056060024609367,0.024232071456228545
0.68,0.004506292812584791,-0.01977339417105364,-0.028751720509354435,-0.01331486910066061,0.012419777028721749,0.024997005041372596
0.7000000000000001,0.00467498266381835,-0.02019338819527336,-0.029560717015164724,-0.013842291094008962,0.012794205638046724,0.02575981662887235
0.72,0.004844863351483591,-0.020619199320790066,-0.030359224951714607,-0.014347345501970022,0.013178743568958503,0.026480918558771622
0.74,0.004994625311645125,-0.021071185164687232,-0.0311670033041765,-0.014849464658759597,0.01357343329454083,0.027201531280125035
0.76,0.005145007045353213,-0.0215283476052062,-0.03196404149188026,-0.015329104626439412,0.01397749174514848,0.027881108845523125
0.78,0.005274252258702643,-0.02201148416107167,-0.03277050658320446,-0.01580614153157776,0.014390970215240897,0.028561808120834906
0.8,0.0054036193790855894,-0.022499143335494465,-0.03356595512466682,-0.01626060167628429,0.014813090681156148,0.02920208919606534
0.8200000000000001,0.005510889096233548,-0.023012574289667374,-0.03437097681848466,-0.01671282216688622,0.015243910956016059,0.029845076620057663
0.84,0.005617853932625783,-0.023529858041325846,-0.03516468124521367,-0.017142382840354173,0.015682658469056955,0.030448205762091986
0.86,0.005701815133550002,-0.024072707520106807,-0.03596809569916333,-0.017570097553608215,0.016129395264300243,0.03105560057747958
0.88,0.005785113706453214,-0.024618722040373277,-0.0367598683469088,-0.01797508258034286,0.016583354754496682,0.03162364030219416
0.9,0.005844555034318068,-0.02519009077180445,-0.037561479379663316,-0.018378644743120207,0.017044601009787778,0.03219748042699775
0.92,0.005903043169840317,-0.02576391703204751,-0.0383511007673734,-0.01875941929308732,0.017512374072102144,0.03273241208160152
0.9400000000000001,0.005936871265105087,-0.026362879005269048,-0.03915068122405477,-0.019139222642325034,0.01798673790771253,0.033274654772470415
0.96,0.005969521097374051,-0.026963569676843314,-0.03993790144669115,-0.01949619123259236,0.0184669399403002,0.03377837908637904
0.98,0.00597675730931269,-0.027589169279150682,-0.04073519459124552,-0.01985266806111253,0.018953041969744854,0.0342909013188165
1.0,0.005982654149295915,-0.028215746122308347,-0.04151973475379223,-0.020186272681839836,0.019444299653393247,0.03476523871207821
1.02,0.0059624316042626736,-0.028866995736075,-0.04231445571468218,-0.020519892005853618,0.01994077062325635,0.03524983735519659
1.04,0.005940771155398263,-0.029518447440959505,-0.043096009432468094,-0.02083061036744713,0.020441719714608682,0.03569652808024812
1.06,0.0058923321628661,-0.03019432548490396,-0.04388784672581207,-0.02114187621322873,0.020947198445650468,0.036154919940345503
1.08,0.005842418065311172,-0.030869605950152597,-0.044677864404210954,-0.021424328767443573,0.021456481859798298,0.036575624129476146
1.1,0.00576511184383686,-0.0315631640067384,-0.0454409338738361,-0.021726670275857816,0.021969672396009606,0.03700944593327194
1.12,0.005686353529982693,-0.03227408262864712,-0.04620343678829272,-0.021999013776029558,0.0224858674630753,0.03740574420959717
1.1400000000000001,0.005579693107707283,-0.03300183916650413,-0.04694000871866369,-0.022291262436821925,0.023005173798663417,0.03781655246079737
1.16,0.005471532741372006,-0.0337455391414552,-0.04767759837385945,-0.022552371042658254,0.023526709519184733,0.03818994282264443
1.18,0.005334829760822234,-0.034504661594776255,-0.04839019519237029,-0.022833482696063268,0.02405058283117882,0.038579209220502154
1.2,0.005196659417807966,-0.035278342429709654,-0.0491053314414217,-0.023082358180070525,0.02457593299077356,0.0389311025074073
1.22,0.00502937095642721,-0.036066058411629,-0.04979633622255736,-0.023351413664568537,0.02510286689624958,0.03930021066143666
1.24,0.004860725503665298,-0.03688211793890474,-0.05048377162443833,-0.023587180283437776,0.025630545443072045,0.039631930914560444
1.26,0.004670019224992177,-0.03767057605577789,-0.051168151537548764,-0.0238433048461109,0.02615907156522682,0.03998217866456331
1.28,0.004457852571568614,-0.03848804559785711,-0.051849037725666965,-0.02406525769183568,0.02668762915081178,0.04029504113742632
1.3,0.0042245002181883285,-0.03927763942486817,-0.052526951044493134,-0.0243080091924148,0.027216313347419054,0.04062758986301501
1.32,0.003970578336961346,-0.04009729519897491,-0.0532014409196697,-0.024515721021379066,0.027744330608998995,0.04092251071975863
1.34,0.0036963537474035166,-0.04088872528800473,-0.05387304165450342,-0.024744720963821857,0.028271764891307626,0.041238276617396395
1.36,0.0034024504281006227,-0.04171122300101888,-0.05454128969294739,-0.024937828549582673,0.028797844400627836,0.04151614021251375
1.3800000000000001,0.0030891297807438176,-0.04250507085884925,-0.05520673279743245,-0.02515276265204734,0.029322640171930172,0.041816006497105006
1.4000000000000001,0.0027570221632798597,-0.043330948185719344,-0.05586889390653853,-0.025330967515008636,0.029845403558121035,0.042077663625734306
1.42,0.0024063860461233143,-0.04412767907271839,-0.056528334337512434,-0.025531586429771564,0.030366190996677544,0.04236247892792821
1.44,0.002037856673396732,-0.04495735856516548,-0.057184563123298594,-0.02569465558891952,0.03088427840489334,0.04260874555246234
1.46,0.001651692115558972,-0.04575732460927123,-0.05783815531527977,-0.025880775575728182,0.03139970600444703,0.042860892522068865
1.48,0.0012577461287261993,-0.04659111694154388,-0.058488605764150055,-0.02602854222285787,0.031920990905977234,0.043118282330511994
1.5,0.0008247976076578283,-0.047394468429839944,-0.05913650351597399,-0.026200045737338157,0.03241667421398929,0.043380416985062516
1.52,0.00038646348510231116,-0.04823261611139943,-0.05978132816347587,-0.02633231763869625,0.03291906200399235,0.04364624338959091
1.54,-8.92927177598569e-05,-0.04903973679358962,-0.06042368442667225,-0.026489193901431823,0.03339585598225474,0.04391530201437105
1.56,-0.0005680989277952095,-0.0498825584010119,-0.06106303774770327,-0.0266061852980655,0.033880146366293905,0.04418659502363868
1.58,-0.001082824362633954,-0.050693678521100446,-0.061700009952669214,-0.026748670887265496,0.034338774076195365,0.044459696941148596
