Time,Agent[0]_X,Agent[0]_Y,Agent[0]_Z,Agent[0]_Norm,Agent[1]_X,Agent[1]_Y,Agent[1]_Z,Agent[1]_Norm,Agent[2]_X,Agent[2]_Y,Agent[2]_Z,Agent[2]_Norm,Agent[3]_X,Agent[3]_Y,Agent[3]_Z,Agent[3]_Norm,Agent[4]_X,Agent[4]_Y,Agent[4]_Z,Agent[4]_Norm,Agent[5]_X,Agent[5]_Y,Agent[5]_Z,Agent[5]_Norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.450580596923828e-09,0.0,7.450580596923828e-09,0.0,-7.450580596923828e-09,0.0,7.450580596923828e-09
0.05,-9.823956736826814e-08,2.0350993939176734e-08,0.00013072795341795285,0.00013072799191459343,-8.827395525656812e-08,6.891324152856802e-08,0.0001311719328298544,0.00013117198063476008,-9.453038263274038e-08,1.1471342320490407e-07,0.00013816646923059395,0.00013816654918905432,-1.715708553007289e-07,-7.454013228880285e-08,0.00010384892794812473,0.00010384909642728968,-1.4267331849282527e-07,2.970761414644585e-10,0.00011508386456693387,0.00011508395300572725,-1.3319031920544536e-07,-3.457468231715666e-07,0.00014573320372646137,0.00014573367472518203
0.1,-0.049999764210247766,-2.7170318993525772e-06,0.00013558468641550192,0.04999994811667134,-0.0499997687087923,-1.5242665678797294e-06,0.0001360288018292799,0.04999995377088904,2.465986677080423e-07,-0.04999651705456154,9.369765236533212e-05,0.04999660485370914,0.05000022333745768,-4.1177682668092075e-06,0.00016117928985659447,0.0500004832928157,0.050000224654633385,2.0114097782908402e-06,0.00015076394561308604,0.05000045199122578,2.8037272049537836e-07,0.049991463243297396,9.449118934012901e-05,0.04999155254509932
0.15000000000000002,-0.05000860812089355,-1.296958440327847e-05,0.00013792794719691415,0.05000880001077648,-0.05000848551528936,-1.033603887297793e-05,0.00013919215006286123,0.05000868029473727,7.614999599780958e-07,-0.05001518918432968,9.692441972397603e-05,0.05001528310494013,0.05000996544716951,-1.4801906195849313e-05,0.00015402473956438456,0.050010204826054394,0.05001001227460922,-5.710962494909211e-06,0.00015695493047696019,0.05001025889926844,8.609787838371492e-07,0.04998910399866219,0.00010884564668689478,0.049989222505507636
0.2,-0.049923940641559146,-2.403154057612036e-05,0.00016607134424839742,0.04992422264180229,-0.04992412411934133,-6.467346073743443e-06,0.0001597599684055595,0.0499243801579696,1.0826580121303664e-06,-0.049930191613932084,0.0001067795386342496,0.049930305803649884,0.049925944608697925,-6.993424047863073e-06,0.0001719954800782908,0.049926241360870746,0.04992597085951189,-3.367422833022715e-06,0.0001738493920551143,0.04992627365641747,9.125790925016147e-07,0.04989789725499261,6.971970160396523e-05,0.04989794597114586
0.25,-0.049621219033502556,-1.1155900422680424e-05,0.0001936491733323109,0.049621598148661863,-0.04962129151273231,1.4418998232224069e-05,0.0001923141147837093,0.04962166627611184,1.054784665832642e-06,-0.049564682716146,0.00018065642758680056,0.04956501196014807,0.04962418545749614,1.957852856637743e-05,0.0001641536310645897,0.04962446082380487,0.04962373397165587,1.858837282586734e-05,0.00019232133332192092,0.049624110131190544,1.1693559486339161e-06,0.049557000458862355,0.00023615568518975394,0.04955756314988383
0.30000000000000004,-0.04914110293772281,1.9266690619003447e-05,0.000192053419247884,0.04914148200509506,-0.04914146262529506,2.3946379615868455e-05,0.0001745906315346879,0.04914177860304802,9.157085720801206e-07,-0.04898933136104633,0.00019723413529115774,0.04898972840652461,0.0491420708861634,3.032798359203781e-05,0.0002557196513381932,0.049142745581696776,0.04914312326121628,3.2881666498063566e-05,0.00020860104281439362,0.049143576990957345,7.190092631251911e-07,0.04902012045016857,0.00020499001715856835,0.04902054906233858
0.35000000000000003,-0.04860390062265447,3.340533653372046e-05,0.00018344217881294256,0.048604258277298584,-0.048604757848282,2.1204873692192103e-05,0.000143649022505965,0.04860497474722588,1.0130251162365767e-06,-0.04839887374286045,0.00020587949896899715,0.04839931163737416,0.04860593801034163,1.1042313037279428e-05,0.00018347554105435648,0.04860628555106855,0.04860620148712913,1.6547592128546285e-05,0.0001823403271772328,0.04860654631657257,6.61671737389228e-07,0.04843840539996602,0.00015923588920419007,0.04843866713894673
0.4,-0.04809555325418249,1.8736389263109977e-05,0.0001870668658017216,0.048095920699062066,-0.04809427889535378,1.4392943449310368e-05,0.00025639626413065386,0.0480949644834587,8.933994539717105e-07,-0.04790187253617395,0.00017608510266908795,0.04790219618382231,0.04809504841301315,-1.2667614519124015e-05,0.00032765721781835566,0.04809616618370871,0.048096891661843166,-1.467865282034353e-05,0.00023703047331657956,0.04809747796339438,6.401108447129561e-07,0.04792035594812383,0.00020220581877383736,0.04792078256662525
0.45,-0.04765288926156221,1.7666156989589422e-07,0.0002432161352925455,0.04765350993467729,-0.047652335963671355,4.56214659070709e-06,0.0002702365586881861,0.04765310243211285,1.0297309200879567e-06,-0.047511904834350194,0.00019558506253680719,0.04751230741150531,0.04765382136163421,-7.275525696570639e-06,0.0002943309978418185,0.04765473086731379,0.04765512077043388,-1.6305675231365058e-05,0.00021371366497602295,0.0476556027666242,3.0948787712846623e-07,0.04752038749673826,0.0002311743059464355,0.04752094979580764
0.5,-0.047281910552573275,-1.248980427183224e-05,0.0002610380744920704,0.04728263277751235,-0.04728143291343301,-1.0632676228727212e-05,0.0002631205018635008,0.0472821662342132,1.067383696096158e-06,-0.04721687472719038,0.0001510452267248219,0.04721711633298897,0.04728403203300324,1.3743006332944674e-06,0.0002630317953280503,0.04728476364445668,0.04728452759085355,-8.499186486154997e-06,0.0002056001349703962,0.04728497534251088,3.042966559119411e-07,0.04720546875350795,0.00023266048382852844,0.04720604210513467
0.55,-0.0469736718236428,-7.431542472969049e-06,0.000244581669124333,0.0469743091488953,-0.04697219613589354,-1.1242176757314126e-05,0.0003122295451509771,0.046973235182434,1.0933712877303492e-06,-0.046965036989479625,0.0002461396821318296,0.04696568199613171,0.04697557149886933,4.301023523112235e-06,0.0002771044210079232,0.04697638899494436,0.046975630428013115,-4.421819848055009e-06,0.0002301722167241671,0.04697619453415862,2.6848567049554726e-07,0.046946933256760026,0.00023581484131085517,0.04694752550375949
0.6000000000000001,-0.0467154207685744,-1.4619689511963688e-06,0.0002007160536532382,0.04671585198470108,-0.04671416156796493,-6.632323158615858e-06,0.00025969184609220264,0.04671488386842644,1.0502732195050157e-06,-0.046740364704731086,0.00018873357740423202,0.04674074575996392,0.046718054063728864,-6.338342624090387e-07,0.0002151466977200478,0.046718549463834795,0.04671773889245712,-3.5818066610460164e-06,0.0001821956280405601,0.04671809430295736,2.690910248932489e-07,0.04671984401643847,0.0001649894379163186,0.04672013534341885
0.65,-0.04649574947891167,-9.522019729815027e-06,0.00032033696070943307,0.04649685393704579,-0.04649502797156746,-1.2635897258491435e-05,0.00030986979930069936,0.04649606225300438,1.1259759267190361e-06,-0.04654198262562481,0.0002651808478226769,0.0465427380895649,0.04649889983708988,-1.3360633989378812e-05,0.0003316390071979036,0.04650008439774441,0.046498751723087484,-9.18695272211778e-06,0.00024289674482869117,0.046499387039337196,2.677041408335577e-07,0.04651232486558943,0.0002762609495965407,0.046513145288037294
0.7000000000000001,-0.0463099568464559,1.3547265975383798e-06,0.00027620074175782605,0.046310780513889406,-0.046308748266199906,-4.569845194545348e-06,0.0003001165228457836,0.0463097209751154,1.189183426397733e-06,-0.04635586995931318,0.00026411506450108035,0.046356622373359,0.04631277127681521,-5.4215614699870684e-06,0.00030437090694368507,0.04631377175723138,0.04631235845450643,-2.9322705845657993e-06,0.00025638632893576485,0.04631306822233406,1.2600960796316112e-07,0.04634559504699354,0.0002660730017627344,0.04634635881186415
0.75,-0.04614971624846491,1.0328043010541002e-05,0.0002826191166249714,0.046150582770398255,-0.0461489805232862,4.116421023736087e-06,0.00025092498888712456,0.046149662876706035,1.2911343256760688e-06,-0.046194228083576316,0.00021655447786139703,0.04619473569300273,0.04615325175942164,4.7894730412778586e-06,0.0002871221239661992,0.04615414510118977,0.046152739353851224,2.319170767428602e-06,0.0002134631605761328,0.04615323305862769,1.617044983937929e-07,0.04619938175384686,0.00022908897934481587,0.046199949742659716
0.8,-0.046011948347116846,8.209575646944624e-06,0.0002619088127375768,0.0460126944909888,-0.046010810491008414,9.347902268039064e-06,0.0002625802113196407,0.04601156069717852,1.4261375715918234e-06,-0.04605456463841051,0.00023818286930854526,0.04605518056795166,0.04601572065317949,9.54736446434623e-06,0.000268997865716436,0.04601650788831523,0.0460149257554443,8.034016141245104e-06,0.00017971223942181425,0.04601527739037835,1.5227688358358485e-07,0.0460697218227315,0.0002455278569630792,0.04607037608676096
0.8500000000000001,-0.045892762237195746,1.3638254307941896e-06,0.00020877225509918773,0.04589323712132648,-0.04589170153950661,1.979959553672774e-05,0.00022569549683915113,0.04589226079277889,1.561650941006576e-06,-0.045942699826700295,0.00019747301076344925,0.04594312424503825,0.045896662082874684,1.854209583207478e-05,0.00023416005709098187,0.04589726315469411,0.04589529246515589,1.5130378414163204e-05,0.00025828833820007446,0.04589602174760026,2.46610179887406e-07,0.045946110202502055,0.00018122119508268142,0.04594646758917193
0.9,-0.045788819310196835,-7.518156182639657e-06,0.00026965395946643156,0.04578961392720387,-0.04578788853777738,1.3988322396676157e-05,0.00022269574505262568,0.04578843222710244,1.6434072671600575e-06,-0.04585328094419161,0.0002046005976401588,0.04585373744257176,0.04579289741454584,1.757959109927043e-05,0.0002900894012300981,0.045793819610530945,0.045791479298226356,7.4758663801688385e-06,0.0002921807663041065,0.04579241205493186,2.991671645491259e-07,0.045826579502030285,0.00027511637035626535,0.04582740531562573
0.9500000000000001,-0.045698262696833955,-9.48654773782648e-06,0.00027410675460481926,0.045699085745957255,-0.04569732450518149,-6.405865918801971e-06,0.00022846375964080679,0.045697896052843044,1.6985013502335278e-06,-0.0457654049588232,0.00021475592629904838,0.04576590886279727,0.04570262903728928,1.6402957259131767e-06,0.0002883399151683008,0.045703538632334874,0.04570127379876121,-5.711935808783153e-06,0.00024601122911738216,0.045701936293557635,2.888165385795511e-07,0.04573122167583321,0.0002590565876072759,0.0457319554181012
1.0,-0.04561922416577849,3.521305660288797e-06,0.00021400501920298964,0.04561972625997865,-0.0456183523819238,-7.69633773299776e-06,0.00018163991512309963,0.045618714650171296,1.6155098752079766e-06,-0.04567319690262206,0.00017479469056524977,0.04567353140604968,0.045623462748127785,-3.5794707500258482e-06,0.00027031580041070313,0.045624263682544686,0.04562219757444419,-3.898178221106718e-06,0.00020971031459016132,0.045622679723285216,2.7948901836961745e-07,0.045661493651958374,0.0002778484084475785,0.045662338993354534
1.05,-0.04554911017243112,2.2818885627166e-05,0.00023695530956402422,0.04554973222775893,-0.04554828254543075,5.641185551124327e-06,0.00024125211425030102,0.04554892180111398,1.6517570369245504e-06,-0.045582677755648504,0.0002619495364748481,0.04558343045080365,0.045553613901105905,8.471490809291993e-06,0.0002455810186829943,0.04555427665163747,0.045552259279527885,7.96240270428683e-06,0.0002559861421156384,0.045552979241473834,2.943066863855624e-07,0.04559373113568821,0.0002057449952901358,0.04559419535382907
1.1,-0.04548696125978342,1.558312464470782e-05,0.00023052068088347255,0.04548754804632941,-0.04548616388814075,2.4756911484789695e-06,0.00026471729545862743,0.04548693424088241,1.7253798629823791e-06,-0.04552012117276805,0.00023276801032068306,0.04552071633341297,0.04549184872813772,6.394998896652737e-06,0.00025815743862578344,0.045492581668475286,0.045490126301246825,8.82301629445692e-06,0.0002844079028494484,0.04549101621863605,3.913777469112479e-07,0.045517334070534154,0.00026547354666872636,0.045518108234479236
1.1500000000000001,-0.04543170319787381,2.9961333772039717e-06,0.000233542174753687,0.045432303555772977,-0.045430857657616563,-3.0231073167869484e-06,0.00025307904351912214,0.045431562659103676,1.8523444529350286e-06,-0.04546811789299454,0.0002693210909030519,0.04546891555791094,0.04543643511445339,-1.0973762414323573e-06,0.0002618926186714887,0.04543718988733659,0.045434752463651584,6.816580134128003e-06,0.0003132941294241576,0.04543583311782222,3.424067165141521e-07,0.04546162918268859,0.0002842939199680927,0.04546251809011965
1.2000000000000002,-0.045381812271766825,-5.546387160187221e-06,0.00022114487548030581,0.04538235142528699,-0.04538108942177299,-8.349546326275287e-06,0.0001991095867333037,0.04538152698454967,1.8919747573065138e-06,-0.0454204149058004,0.00021303776270631403,0.04542091455357281,0.04538689564377307,-9.182570340549034e-06,0.00022722945680575535,0.045387465381142245,0.04538527530458536,-3.4787256506518816e-06,0.0002483567466593506,0.04538595496018729,4.0072479642371636e-07,0.045412743486407336,0.00023751614061984228,0.04541336460822813
1.25,-0.04533663810578013,-1.7644684648053087e-05,0.00022613304061325223,0.04533720549638485,-0.045335770880575055,-1.9032190528863943e-05,0.00021207048457316802,0.0453362708816098,2.021206332081249e-06,-0.045383978247667045,0.00020389944713938846,0.04538443632628408,0.045341983826877374,-2.0230495903383883e-05,0.00022177987501947882,0.04534253072935759,0.04534048436897731,-1.9043001282526006e-05,0.000241531182354926,0.04534113168814187,5.674905006750208e-07,0.045360687977853864,0.000243789196541222,0.04536134309429794
