u_r,u_theta,ro_i,agent_position_x[1],agent_position_x[2],agent_position_x[3],agent_position_x[4],agent_position_x[5],agent_position_x[6]
-0.005999999999999999,0.00047999999999999996,5.0,4.99988,2.5000000000000004,-2.499999999999999,-5.0,-2.500000000000002,2.5000000000000004
-2.744556778080376,0.0065279911825209145,5.0,4.99988,2.472441364095202,-2.499999999999999,-5.0,-2.500000000000002,2.5000000000000004
-10.969227112321505,-15.695090813604708,5.000000000000001,4.99988,2.472441364095202,-2.118460781691075,-5.0,-2.500000000000002,2.5000000000000004
-24.680011002723397,15.506432601263706,5.0,4.99988,2.472441364095202,-2.118460781691075,-4.506399779945532,-2.500000000000002,2.5000000000000004
-10.969227112321514,0.1596579285285445,5.000000000000001,4.99988,2.472441364095202,-2.118460781691075,-4.506399779945532,-2.3875423724363607,2.5000000000000004
-2.744556778080376,-0.0043665288544051835,5.0,4.99988,2.472441364095202,-2.118460781691075,-4.506399779945532,-2.3875423724363607,2.472478801720911
-0.025999382732747583,0.0024802928188423223,4.987880011577737,4.999360012106664,2.472441364095202,-2.118460781691075,-4.506399779945532,-2.3875423724363607,2.472478801720911
-0.02273829426101523,-0.16485670954562703,4.939132565821722,4.999360012106664,2.4750737314857054,-2.118460781691075,-4.506399779945532,-2.3875423724363607,2.472478801720911
-0.03127643326054105,0.4738183994157186,4.796241160643598,4.999360012106664,2.4750737314857054,-2.1266730947963106,-4.506399779945532,-2.3875423724363607,2.472478801720911
-0.03432569593955609,-0.30592182278806834,4.529029401165487,4.999360012106664,2.4750737314857054,-2.1266730947963106,-4.506133822302092,-2.3875423724363607,2.472478801720911
-0.021988940134632463,0.0008078870808417783,4.786608405879737,4.999360012106664,2.4750737314857054,-2.1266730947963106,-4.506133822302092,-2.387307929056373,2.472478801720911
-0.022712885934290196,0.007354333272351941,4.939107501830848,4.999360012106664,2.4750737314857054,-2.1266730947963106,-4.506133822302092,-2.387307929056373,2.4723800439352517
-0.045936132150743846,0.0028016688716318277,4.975360105637614,4.998441288148444,2.4750737314857054,-2.1266730947963106,-4.506133822302092,-2.387307929056373,2.4723800439352517
-0.042430956657767,0.007300088981132336,4.932742620065138,4.998441288148444,2.4745253520823396,-2.1266730947963106,-4.506133822302092,-2.387307929056373,2.4723800439352517
-0.04074400064098038,-0.014180308498572242,4.801027156416578,4.998441288148444,2.4745253520823396,-2.126054501345207,-4.506133822302092,-2.387307929056373,2.4723800439352517
-0.041460257043058814,0.0026515012705309957,4.540317055018698,4.998441288148444,2.4745253520823396,-2.126054501345207,-4.505302927231165,-2.387307929056373,2.4723800439352517
-0.04100965578537647,0.009271821671612536,4.792158106614473,4.998441288148444,2.4745253520823396,-2.126054501345207,-4.505302927231165,-2.3867349750530393,2.4723800439352517
-0.042381834607552904,0.009212959455851408,4.932648496049314,4.998441288148444,2.4745253520823396,-2.126054501345207,-4.505302927231165,-2.3867349750530393,2.4721192674086163
-0.06580825448517799,0.006518735623556923,4.962441605226418,4.997125116628502,2.4745253520823396,-2.126054501345207,-4.505302927231165,-2.3867349750530393,2.4721192674086163
-0.0620985950474273,0.000809230779480071,4.926005200732984,4.997125116628502,2.4738964749815633,-2.126054501345207,-4.505302927231165,-2.3867349750530393,2.4721192674086163
-0.05976642089468443,0.0007400387344172026,4.805663362614941,4.997125116628502,2.4738964749815633,-2.1255299447931923,-4.505302927231165,-2.3867349750530393,2.4721192674086163
-0.0592730766842764,-0.005101509153789661,4.551455971818606,4.997125116628502,2.4738964749815633,-2.1255299447931923,-4.504126921531388,-2.3867349750530393,2.4721192674086163
-0.06004997314689251,0.010944131049494345,4.797324604665321,4.997125116628502,2.4738964749815633,-2.1255299447931923,-4.504126921531388,-2.3859395293246477,2.4721192674086163
-0.06201665242140729,0.011229031372303005,4.925792672921167,4.997125116628502,2.4738964749815633,-2.1255299447931923,-4.504126921531388,-2.3859395293246477,2.471701035655433
-0.08561376735599757,0.008364031423617007,4.949125876788223,4.995412825203079,2.4738964749815633,-2.1255299447931923,-4.504126921531388,-2.3859395293246477,2.471701035655433
-0.08172447592474912,0.0030342141753369562,4.9189218386040645,4.995412825203079,2.473037591946016,-2.1255299447931923,-4.504126921531388,-2.3859395293246477,2.471701035655433
-0.0788424915770072,0.00233549079965678,4.809968499801092,4.995412825203079,2.473037591946016,-2.124859066511212,-4.504126921531388,-2.3859395293246477,2.471701035655433
-0.07714511484827775,-0.006723002474628398,4.562236696775251,4.995412825203079,2.473037591946016,-2.124859066511212,-4.502596385255307,-2.3859395293246477,2.471701035655433
-0.07911462370869143,0.012820905147881551,4.802107413401254,4.995412825203079,2.473037591946016,-2.124859066511212,-4.502596385255307,-2.3849165059800823,2.471701035655433
-0.0816149410858342,0.01322257279114437,4.918540657634685,4.995412825203079,2.473037591946016,-2.124859066511212,-4.502596385255307,-2.3849165059800823,2.471126805457581
